PLAN START DATE;BATCH NO;DFF1;DFF2;DFF3;ITEM CODE;ITEM DESC;STATUS;PLAN QTY BOX;ACTUAL QTY BOX
03/01/2022;F2201000158;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;450
03/01/2022;F2201000159;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;450
03/01/2022;F2201000160;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;451
03/01/2022;F2201000161;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;451
03/01/2022;F2201000162;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;462
03/01/2022;F2201000163;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;462
03/01/2022;F2201000164;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;455
03/01/2022;F2201000165;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;457
03/01/2022;F2201000166;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;84
03/01/2022;F2201000167;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
03/01/2022;F2201000168;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;86
03/01/2022;F2201000169;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
03/01/2022;F2201000170;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;81
03/01/2022;F2201000171;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;81
03/01/2022;F2201000172;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000173;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000174;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000175;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000176;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000177;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;85
03/01/2022;F2201000178;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
03/01/2022;F2201000179;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
03/01/2022;F2201000180;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000181;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;86
03/01/2022;F2201000182;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
03/01/2022;F2201000183;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;84
03/01/2022;F2201000184;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000185;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
03/01/2022;F2201000186;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;85,83
03/01/2022;F2201000187;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
10/01/2022;F2201000188;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000189;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000190;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
10/01/2022;F2201000191;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
10/01/2022;F2201000192;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000193;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000194;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
